day_of_week,users,percent
3,35469,18.629654918850779
2,31172,16.372708650664425
1,30282,15.905247124323758
4,25782,13.541677609118125
7,24281,12.753295866379535
5,21847,11.474867377488314
6,21557,11.322548453175061
