rideable_type,users,member_casual,percent
classic_bike,74335,member,39.043542202846787
electric_bike,73056,member,38.371763222858348
electric_bike,25278,casual,13.276957823415096
classic_bike,15527,casual,8.1553653027995168
docked_bike,2194,casual,1.1523714480802563
